DATE,STORE_ID,PRODUCT_ID,CATEGORY,SALES_UNITS,SALES_VALUE,PROMOTIONAL_DISCOUNT,WEATHER_IMPACT
2023-09-14,STORE-38,PROD-92,Furniture,33.0,72.28,15,Extreme Heat
2023-09-15,STORE-15,PROD-193,Clothing,36.0,219.5,20,None
2023-09-16,STORE-1,PROD-49,Grocery,45.0,88.82,5,Snow
2023-09-17,STORE-5,PROD-43,Furniture,23.0,353.17,15,Snow
2023-09-18,STORE-46,PROD-104,Electronics,45.0,381.85,10,None
2023-09-19,STORE-41,PROD-5,Clothing,45.0,61.84,5,None
2023-09-20,STORE-4,PROD-59,Electronics,34.0,258.01,0,Extreme Heat
2023-09-21,STORE-15,PROD-58,Electronics,9.0,409.17,0,Extreme Heat
2023-09-22,STORE-5,PROD-187,Furniture,24.0,468.72,20,Rain
2023-09-23,STORE-3,PROD-34,Clothing,8.0,261.62,20,Rain
2023-09-24,STORE-22,PROD-55,Grocery,7.0,475.64,10,Extreme Heat
2023-09-25,STORE-5,PROD-188,Grocery,36.0,272.49,10,Rain
2023-09-26,STORE-33,PROD-6,Furniture,18.0,203.15,0,Rain
2023-09-27,STORE-16,PROD-151,Furniture,3.0,425.62,15,None
2023-09-28,STORE-18,PROD-130,Clothing,28.0,251.56,0,Extreme Heat
2023-09-29,STORE-43,PROD-44,Grocery,6.0,241.23,0,None
2023-09-30,STORE-32,PROD-32,Grocery,44.0,250.25,10,None
2023-10-01,STORE-14,PROD-94,Grocery,44.0,424.92,20,Rain
2023-10-02,STORE-35,PROD-183,Electronics,21.0,417.65,10,None
2023-10-03,STORE-9,PROD-167,Grocery,28.0,207.72,10,Snow
2023-10-04,STORE-47,PROD-10,Electronics,40.0,173.32,10,Rain
2023-10-05,STORE-37,PROD-97,Clothing,0.5,251.04,0,Snow
2023-10-06,STORE-37,PROD-164,Electronics,36.0,290.66,15,Rain
2023-10-07,STORE-31,PROD-66,Clothing,21.0,126.79,0,None
2023-10-08,STORE-16,PROD-198,Grocery,43.0,399.04,5,Rain
2023-10-09,STORE-31,PROD-137,Grocery,35.0,248.38,10,Snow
2023-10-10,STORE-27,PROD-160,Clothing,13.0,173.68,10,Rain
2023-10-11,STORE-13,PROD-13,Furniture,49.0,62.34,5,Snow
2023-10-12,STORE-7,PROD-153,Clothing,10.0,127.03,10,Extreme Heat
2023-10-13,STORE-7,PROD-13,Furniture,44.0,,10,None
2023-10-14,STORE-43,PROD-170,Electronics,47.0,159.5,10,Snow
2023-10-15,STORE-28,PROD-28,Electronics,10.0,92.74,5,Extreme Heat
2023-10-16,STORE-23,PROD-168,Electronics,46.0,235.73,0,None
2023-10-17,STORE-28,PROD-6,Grocery,13.0,160.47,10,Extreme Heat
2023-10-18,STORE-27,PROD-13,Electronics,37.0,27.23,15,Snow
2023-10-19,STORE-30,PROD-177,Furniture,38.0,168.34,5,None
2023-10-20,STORE-47,PROD-30,Electronics,24.0,276.61,20,Extreme Heat
2023-10-21,STORE-4,PROD-107,Clothing,2.0,280.34,5,Snow
2023-10-22,STORE-44,PROD-114,Clothing,22.0,184.71,0,Extreme Heat
2023-10-23,STORE-42,PROD-98,Grocery,17.0,229.18,5,None
2023-10-24,STORE-42,PROD-32,Clothing,36.0,483.1,20,None
2023-10-25,STORE-7,PROD-141,Furniture,14.0,194.9,15,None
2023-10-26,STORE-4,PROD-65,Electronics,10.0,136.53,20,Snow
2023-10-27,STORE-26,PROD-122,Grocery,35.0,129.3,5,Extreme Heat
2023-10-28,STORE-47,PROD-180,Electronics,25.0,234.3,20,Extreme Heat
2023-10-29,STORE-22,PROD-40,Electronics,3.0,382.16,5,Snow
2023-10-30,STORE-7,PROD-53,Furniture,47.0,110.93,15,None
2023-10-31,STORE-16,PROD-178,Clothing,38.0,715.12,15,Rain
2023-11-01,STORE-13,PROD-176,Clothing,17.0,20.36,0,None
2023-11-02,STORE-13,PROD-162,Electronics,12.0,215.28,15,Rain
2023-11-03,STORE-35,PROD-3,Grocery,24.0,390.17,10,None
2023-11-04,STORE-29,PROD-78,Clothing,29.0,175.98,20,Snow
2023-11-05,STORE-9,PROD-108,Grocery,43.0,286.23,20,Rain
2023-11-06,STORE-28,PROD-170,Clothing,25.0,110.44,5,Snow
2023-11-07,STORE-12,PROD-26,Grocery,36.0,373.58,15,Rain
2023-11-08,STORE-18,PROD-170,Furniture,26.0,35.62,0,Extreme Heat
2023-11-09,STORE-30,PROD-134,Grocery,38.0,427.75,0,Rain
2023-11-10,STORE-16,PROD-70,Furniture,1.0,107.12,0,Rain
2023-11-11,STORE-5,PROD-160,Furniture,20.0,438.46,10,Rain
2023-11-12,STORE-29,PROD-156,Grocery,28.0,182.74,15,Extreme Heat
2023-11-13,STORE-36,PROD-180,Furniture,16.0,364.11,0,Snow
2023-11-14,STORE-7,PROD-36,Electronics,47.0,166.42,10,Extreme Heat
2023-11-15,STORE-4,PROD-108,Furniture,17.0,453.9,20,Rain
2023-11-16,STORE-42,PROD-27,Clothing,40.0,72.05,5,None
2023-11-17,STORE-35,PROD-131,Grocery,28.0,97.47,15,Extreme Heat
2023-11-18,STORE-1,PROD-185,Electronics,12.0,251.58,15,None
2023-11-19,STORE-6,PROD-159,Grocery,27.0,50.15,20,Extreme Heat
2023-11-20,STORE-49,PROD-31,Clothing,42.0,106.03,15,Extreme Heat
2023-11-21,STORE-16,PROD-73,Clothing,47.0,472.45,15,Rain
2023-11-22,STORE-11,PROD-30,Clothing,30.0,488.48,15,Snow
2023-11-23,STORE-27,PROD-28,Furniture,41.0,194.37,15,Snow
2023-11-24,STORE-32,PROD-128,Furniture,34.0,462.41,10,Rain
2023-11-25,STORE-31,PROD-51,Grocery,37.0,276.96,10,Extreme Heat
2023-11-26,STORE-14,PROD-156,Grocery,6.0,142.17,5,Snow
2023-11-27,STORE-26,PROD-52,Electronics,7.0,354.18,15,Snow
2023-11-28,STORE-4,PROD-200,Electronics,32.0,332.86,20,Snow
2023-11-29,STORE-11,PROD-68,Grocery,32.0,494.67,0,Rain
2023-11-30,STORE-25,PROD-134,Furniture,25.0,139.87,5,None
2023-12-01,STORE-1,PROD-52,Clothing,33.0,339.31,0,None
2023-12-02,STORE-25,PROD-92,Grocery,7.0,35.49,0,None
2023-12-03,STORE-17,PROD-181,Electronics,12.0,65.69,15,None
2023-12-04,STORE-30,PROD-105,Furniture,16.0,11.92,20,None
2023-12-05,STORE-19,PROD-76,Grocery,16.0,499.74,0,Snow
2023-12-06,STORE-28,PROD-42,Grocery,43.0,403.11,0,Snow
2023-12-07,STORE-45,PROD-11,Furniture,36.0,395.49,5,Extreme Heat
2023-12-08,STORE-47,PROD-141,Grocery,13.0,259.77,20,Snow
2023-12-09,STORE-36,PROD-128,Furniture,7.0,157.03,20,Rain
2023-12-10,STORE-43,PROD-54,Clothing,36.0,84.12,0,Extreme Heat
2023-12-11,STORE-46,PROD-177,Furniture,47.0,149.49,20,Snow
2023-12-12,STORE-32,PROD-124,Furniture,9.0,388.46,5,Extreme Heat
2023-12-13,STORE-10,PROD-85,Furniture,32.0,380.59,5,Extreme Heat
2023-12-14,STORE-13,PROD-61,Grocery,11.0,274.43,5,None
2023-12-15,STORE-19,PROD-1,Grocery,8.0,47.97,15,Extreme Heat
2023-12-16,STORE-14,PROD-4,Furniture,33.0,18.83,0,Snow
2023-12-17,STORE-4,PROD-172,Grocery,23.0,60.14,20,None
2023-12-18,STORE-38,PROD-23,Electronics,25.0,211.14,5,Snow
2023-12-19,STORE-48,PROD-29,Electronics,8.0,467.26,0,None
2023-12-20,STORE-35,PROD-147,Grocery,45.0,322.33,0,Snow
2023-12-21,STORE-4,PROD-172,Grocery,22.0,402.89,15,None
2023-12-22,STORE-48,PROD-127,Furniture,4.0,238.52,20,None
2023-12-23,STORE-21,PROD-39,Clothing,40.0,187.22,20,Rain
2023-12-24,STORE-4,PROD-24,Grocery,3.0,63.12,5,Snow
2023-12-25,STORE-4,PROD-200,Electronics,29.0,439.21,5,Extreme Heat
